name,price,discount,final_price,view_count,vote_count,discount_code,product_url
India's Most Effective Portable Air Purifier (Blush Pink),3199,20,2559.2,47753,4,TOASTD20,https://www.toastd.in/product/atovio-pebble-portable-air-purifier-blush-pink
F1 Monaco 3D Wall Frame (Geographic),2249,10,2024.1,45887,14,TOASTD10,https://www.toastd.in/product/unit01labs-f1-monaco-3d-poster-geographic
GOKU Rug,8999,0,8999,43290,3,,https://www.toastd.in/product/just-rugs-co-goku-rug
Aruval / BLADELINE,4500,5,4275,42888,0,TOASTD5,https://www.toastd.in/product/51x49-aruval-olive-green
MEMENTO MORI | LIFE CALENDER - METAL FRAME - RED STYLE,1997,10,1797.3,42397,0,TOASTD10,https://www.toastd.in/product/shenzation-memento-mori-life-calendar-metal-frame-red
Heat 551 Chest Bag,2800,5,2660,41885,4,TOASTD5,https://www.toastd.in/product/51x49-heat-551-chest-bag
Strobe Dual Handle Bag - Navy,2650,15,2252.5,40098,0,TOASTD15,https://www.toastd.in/product/no-more-strobe-dual-handle-bag-navy
VINTAGE BOLLYWOOD - WALL COLLAGE POSTERS,599,5,569.05,40037,2,TOASTD5,https://www.toastd.in/product/reawakentheory-vintage-bollywood-wall-collage-posters
Mango Madness (PACK OF 7),770,10,693,39475,1,toasted10,https://www.toastd.in/product/goat-life-mango-madness
Umi - The Ocean,1799,15,1529.15,38667,9,TOASTD15,https://www.toastd.in/product/okami-life-umi-the-ocean
Spring Ball Lamp,2950,0,2950,38148,3,,https://www.toastd.in/product/bow-homes-spring-ball-lamp
MIRROR SPECTACULAR,3999,10,3599.1,37526,1,TOASTD10,https://www.toastd.in/product/we-are-notice-convex-mirror
GoOats Protein Oats- Tiramisu Flavour,649,10,584.1,36831,4,toasted10,https://www.toastd.in/product/goatlife-taramisu
Perpetual Calendar - WeAreNotice,1499,10,1349.1,36766,10,TOASTD10,https://www.toastd.in/product/we-are-notice-perpetual
Yoru - The Night,1999,15,1699.15,36713,6,TOASTD15,https://www.toastd.in/product/okami-life-yoru-the-night
