id,name,tags,tags_json,category_id,brand_id
66d727eb-7e35-488b-8c65-0cadbd554c0c,India's Most Effective Portable Air Purifier (Blush Pink),Made in India|Immunity Booster|Air Purifier,"[{""name"": ""Made in India"", ""slug"": ""Made-in-India"", ""color"": ""Blue"", ""description"": ""Made in India""}, {""name"": ""Immunity Booster"", ""slug"": ""Immunity Booster"", ""color"": ""Green"", ""description"": ""Immunity Booster""}, {""name"": ""Air Purifier"", ""slug"": ""air-purifier"", ""color"": ""Blue"", ""description"": ""Air Purifier""}]",8045bd2c-d72c-42c8-9152-6cc6a8c62075,10a26ce8-92c3-4f6f-ae04-4c83a649e9cd
f3fcc346-2afa-4d77-a33a-433aff094d0e,F1 Monaco 3D Wall Frame (Geographic),Durable|Wooden Frame,"[{""name"": ""Durable"", ""slug"": ""Durable"", ""color"": ""Black"", ""description"": ""Durable""}, {""name"": ""Wooden Frame"", ""slug"": ""wooden-frame"", ""color"": ""Brown"", ""description"": ""Wooden Frame""}]",0181774c-41c6-439d-8d53-75c3848e2a54,d3a3ce86-b6cd-4cd6-ae26-7d2f443fc0fe
f2fdef0e-4b09-4623-b9c4-b5d486bf05ec,GOKU Rug,Made in India|Handmade|Rugs,"[{""name"": ""Made in India"", ""slug"": ""Made-in-India"", ""color"": ""Blue"", ""description"": ""Made in India""}, {""name"": ""Handmade"", ""slug"": ""handmade"", ""color"": ""Brown"", ""description"": ""Handmade""}, {""name"": ""Rugs"", ""slug"": ""rugs"", ""color"": ""Black"", ""description"": ""Rugs""}]",0181774c-41c6-439d-8d53-75c3848e2a54,e363102f-0ede-4118-bdee-cd8c761232c9
b1b1205a-b0f3-4205-ae2c-d5c7d2988a2b,Aruval / BLADELINE,Portable,"[{""name"": ""Portable"", ""slug"": ""Portable"", ""color"": ""Light Blue"", ""description"": ""Portable""}]",2744b95e-36ee-4abb-b896-225a7d22d728,e3afc012-d098-4dc9-a98c-26d8b17225e1
e3f25bb7-24b5-43ed-a2c5-4aa3c2b8d110,MEMENTO MORI | LIFE CALENDER - METAL FRAME - RED STYLE,Made in India,"[{""name"": ""Made in India"", ""slug"": ""Made-in-India"", ""color"": ""Blue"", ""description"": ""Made in India""}]",eb232420-804d-4165-9cbe-8266ababcbee,d86cee20-6f62-4475-8047-7dce8ae6f8c4
2f5cd077-8139-49d0-a543-db4b861f2b01,Heat 551 Chest Bag,Portable|Smash Your Goals,"[{""name"": ""Portable"", ""slug"": ""Portable"", ""color"": ""Light Blue"", ""description"": ""Portable""}, {""name"": ""Smash Your Goals"", ""slug"": ""smash-your-goals"", ""color"": ""Grey"", ""description"": ""Smash Your Goals""}]",ba4ed8a0-5dac-4390-bc61-9446e374ab3b,e3afc012-d098-4dc9-a98c-26d8b17225e1
e094e381-c423-48ce-8511-9818be2df745,Strobe Dual Handle Bag - Navy,Homegrown Brand|Recycled Materials,"[{""name"": ""Homegrown Brand"", ""slug"": ""family-business"", ""color"": ""blue"", ""description"": ""Homegrown Brand""}, {""name"": ""Recycled Materials"", ""slug"": ""recycled-materials"", ""color"": ""blue"", ""description"": ""Recycled Materials""}]",2744b95e-36ee-4abb-b896-225a7d22d728,bbba5e22-61f6-4581-bf09-5c131c65600e
fdbbe0af-d459-46bc-9f4c-6c9fd3a79178,VINTAGE BOLLYWOOD - WALL COLLAGE POSTERS,Aesthetic,"[{""name"": ""Aesthetic"", ""slug"": ""aesthetic"", ""color"": ""Red"", ""description"": ""Aesthetic""}]",0181774c-41c6-439d-8d53-75c3848e2a54,ede98d11-07c8-4a2c-a827-7e370f566e01
d082d408-dc8d-4be5-8884-38394594ea72,Mango Madness (PACK OF 7),No Preservatives|Vegan|High Protein|No Sugar|Muscle Building,"[{""name"": ""No Preservatives"", ""slug"": ""No-Preservatives"", ""color"": ""Green"", ""description"": ""No Preservatives""}, {""name"": ""Vegan"", ""slug"": ""Vegan"", ""color"": ""Green"", ""description"": ""Vegan""}, {""name"": ""High Protein"", ""slug"": ""High-Protein"", ""color"": ""Red"", ""description"": ""High Protein""}, {""name"": ""No Sugar"", ""slug"": ""Sugarfree"", ""color"": ""Yellow"", ""description"": ""Sugarfree""}, {""name"": ""Muscle Building"", ""slug"": ""muscle-building"", ""color"": ""Black"", ""description"": ""Muscle Building""}]",36b291ec-3666-4da1-9f51-82fa2df373a5,18eeab5b-cff2-4cc7-8a1a-415ee54653a1
590add82-98c3-4eb5-8e87-9a43f9a60d3e,Umi - The Ocean,Premium Ingredients |Unisex,"[{""name"": ""Premium Ingredients "", ""slug"": ""Premium-ingredients"", ""color"": ""Grey"", ""description"": ""Premium ingredients""}, {""name"": ""Unisex"", ""slug"": ""unisex"", ""color"": ""black"", ""description"": ""Unisex""}]",3142d0c8-1de1-408f-9ed9-45087b116967,597c3d41-2881-4d00-b8a2-53bf46a71bec
a198766c-4c06-4fe2-9196-bbb7a4f5f10e,Spring Ball Lamp,Made in India|Hand Made,"[{""name"": ""Made in India"", ""slug"": ""Made-in-India"", ""color"": ""Blue"", ""description"": ""Made in India""}, {""name"": ""Hand Made"", ""slug"": ""hand-made"", ""color"": ""blue"", ""description"": ""Hand Curated Products""}]",0181774c-41c6-439d-8d53-75c3848e2a54,f48d0a26-7c78-44e0-9dcf-5d945ca10f17
81d38358-ce93-4527-907a-9d2778d0cc65,MIRROR SPECTACULAR,Aesthetic|Homegrown Brand|Handmade,"[{""name"": ""Aesthetic"", ""slug"": ""aesthetic"", ""color"": ""Red"", ""description"": ""Aesthetic""}, {""name"": ""Homegrown Brand"", ""slug"": ""family-business"", ""color"": ""blue"", ""description"": ""Homegrown Brand""}, {""name"": ""Handmade"", ""slug"": ""handmade"", ""color"": ""Brown"", ""description"": ""Handmade""}]",0181774c-41c6-439d-8d53-75c3848e2a54,bb1424d3-239e-4162-b888-09b20c641417
